"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","GSM_ID","Cell_Line"
"SRX5100689",0.020644104,0.007342974,0.003823572,0.005127884,"antiPD1; antiCTLA4;","day7","day7","GSM3554691","KPB25L"
"SRX5100686",0.030451098,0.01085262,0,0.003227706,"no_treatment","day7","day7","GSM3554692","KPB25L"
"SRX5100687",0.030096192,0.010988538,0.000349302,0.004047916,"no_treatment","day7","day7","GSM3554693","KPB25L"
"SRX5100692",0.03046641,0.010471212,0.0003331262,0.004029854,"no_treatment","day7","day7","GSM3554694","KPB25L"
"SRX5100693",0.031648746,0.00860631,0,0.003356824,"no_treatment","day7","day7","GSM3554695","KPB25L"
"SRX5100690",0.022529988,0.007249926,0.0002383052,0.00245116,"antiPD1; antiCTLA4;","day7","day7","GSM3554696","KPB25L"
"SRX5100691",0.03449043,0.008667516,3.151104e-05,0.004006074,"antiPD1; antiCTLA4;","day7","day7","GSM3554697","KPB25L"
"SRX5100680",0.043494576,0.009490896,0.00016895496,0.005095694,"antiPD1; antiCTLA4;","day7","day7","GSM3554698","KPB25L"
"SRX5100597",0.029152284,0.00706455,0,0.002796756,"no_treatment","end","end","GSM3554699","KPB25L"
"SRX5100596",0.032315094,0.010024776,0,0.003604744,"no_treatment","day3","day3","GSM3554700","KPB25L"
"SRX5100599",0.025472916,0.006423648,0,0.002765198,"no_treatment","end","end","GSM3554701","KPB25L"
"SRX5100598",0.025723194,0.007225998,0,0.003291106,"no_treatment","day3","day3","GSM3554702","KPB25L"
"SRX5100618",0.025648788,0.0050148552,0,0.002847744,"no_treatment","day3","day3","GSM3554703","KPB25L"
"SRX5100617",0.027569934,0.007122096,0,0.003441998,"no_treatment","day3","day3","GSM3554704","KPB25L"
"SRX5100591",0.042755442,0.006430698,0,0.006525684,"no_treatment","day3","day3","GSM3554705","KPB25L"
"SRX5100588",0.025009326,0.005549361,0,0.00297909,"antiPD1; antiCTLA4;","day3","day3","GSM3554706","KPB25L"
"SRX5100589",0.059515362,0.011347626,0.0017756544,0.007348336,"antiPD1; antiCTLA4;","day3","day3","GSM3554707","KPB25L"
"SRX5100594",0.03723276,0.008316744,0,0.003249214,"antiPD1; antiCTLA4;","day3","day3","GSM3554708","KPB25L"
"SRX5100609",0.049667706,0.02357922,0.0010039948,0.007190352,"antiPD1; antiCTLA4;","day3","day3","GSM3554709","KPB25L"
"SRX5100595",0.050113746,0.018279384,0.0012669174,0.008693806,"antiPD1; antiCTLA4;","day3","day3","GSM3554710","KPB25L"
"SRX5100592",0.0227838,0.0058271832,0,0.00267087,"no_treatment","end","end","GSM3554711","KPB25L"
"SRX5100593",0.022081854,0.0047444736,0,0.002101968,"no_treatment","end","end","GSM3554712","KPB25L"
"SRX5100586",0.020625012,0.006201132,0,0.00266645,"no_treatment","end","end","GSM3554713","KPB25L"
"SRX5100587",0.029429604,0.006990366,0,0.003629198,"no_treatment","end","end","GSM3554714","KPB25L"
"SRX5100855",0.033581142,0.00807975,0,0.003995992,"antiPD1; antiCTLA4;","end","end","GSM3554715","KPB25L"
"SRX5100854",0.015200538,0.0031236396,0,0.0017607912,"antiPD1; antiCTLA4;","end","end","GSM3554716","KPB25L"
"SRX5100853",0.030162588,0.0076647,0,0.003386614,"antiPD1; antiCTLA4;","end","end","GSM3554717","KPB25L"
"SRX5100631",0.018223626,0.0041111682,0.0015909758,0.00244731,"no_treatment","Apobec_day3","day3","GSM3554718","KPB25L"
"SRX5100821",0.02756628,0.007365792,0.0003278666,0.004463348,"no_treatment","Apobec_day3","day3","GSM3554719","KPB25L"
"SRX5100818",0.031634244,0.0056599566,0.006720236,0.005852882,"no_treatment","Apobec_day3","day3","GSM3554720","KPB25L"
"SRX5100622",0.039560454,0.00823635,0.0003181218,0.005484326,"no_treatment","Apobec_day3","day3","GSM3554721","KPB25L"
"SRX5100623",0.015120894,0.0051586452,8.728094e-05,0.002434584,"no_treatment","Apobec_day3","day3","GSM3554722","KPB25L"
"SRX5100863",0.028508052,0.006209784,0.00019482734,0.00438833,"no_treatment","UV_day3","day3","GSM3554724","KPB25L"
"SRX5100861",0.044231172,0.008691174,0.001650683,0.0054004,"no_treatment","UV_day3","day3","GSM3554725","KPB25L"
"SRX5100822",0.035853192,0.011362956,0.007057278,0.005798418,"no_treatment","UV_day3","day3","GSM3554726","KPB25L"
"SRX5100823",0.029545044,0.00783234,0.0002024958,0.003110776,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554727","KPB25L"
"SRX5100820",0.025715496,0.006015462,0.00219904,0.002836244,"no_treatment","UV_day3","day3","GSM3554728","KPB25L"
"SRX5100777",0.029513352,0.011890542,0.0004486374,0.002813942,"antiPD1; antiCTLA4;","UV_end","end","GSM3554729","KPB25L"
"SRX5100776",0.019032534,0.006552114,0,0.00206632,"antiPD1; antiCTLA4;","UV_end","end","GSM3554730","KPB25L"
"SRX5100779",0.020279964,0.007486404,0.0008434116,0.003478588,"antiPD1; antiCTLA4;","UV_end","end","GSM3554731","KPB25L"
"SRX5100773",0.01867611,0.0047111676,0.0002063958,0.0014823808,"antiPD1; antiCTLA4;","UV_end","end","GSM3554732","KPB25L"
"SRX5100709",0.037409094,0.009616254,0.005450034,0.007164052,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554733","KPB25L"
"SRX5100712",0,0.00456978,0.008481252,0.005781506,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554734","KPB25L"
"SRX5100711",0.022124166,0.0051354888,0,0.00269193,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554735","KPB25L"
"SRX5100714",0.030503694,0.006799548,0.00019906518,0.003770074,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554736","KPB25L"
"SRX5100713",0.03293007,0.007082286,0,0.004873732,"no_treatment","UV_day7","day7","GSM3554737","KPB25L"
"SRX5100716",0.030053406,0.0059674356,0.0017795396,0.002651262,"no_treatment","UV_day7","day7","GSM3554738","KPB25L"
"SRX5100715",0.0279591,0.006447348,0.0016461588,0.005770782,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554739","KPB25L"
"SRX5100708",0.04482186,0.01394697,0.005333106,0.008706402,"no_treatment","UV_day7","day7","GSM3554740","KPB25L"
"SRX5100707",0.037913844,0.010366464,0.0007378146,0.00702162,"no_treatment","UV_day7","day7","GSM3554741","KPB25L"
"SRX5100619",0.0024616602,0.0057440382,0.02410388,0.008075568,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554742","KPB25L"
"SRX5100620",0.051339528,0.018295374,0.00726587,0.009367704,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554743","KPB25L"
"SRX5100621",0.048424854,0.0057688332,0.0208491,0.00874022,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554744","KPB25L"
"SRX5100605",0.023861838,0.0048438018,0.0002344634,0.002222348,"no_treatment","UV_end","end","GSM3554745","KPB25L"
"SRX5100604",0.042887622,0.01399056,0,0.004458304,"no_treatment","UV_end","end","GSM3554746","KPB25L"
"SRX5100766",0.014485092,0.0037977348,0.0003117824,0.0018638352,"no_treatment","UV_end","end","GSM3554747","KPB25L"
"SRX5100767",0.03072243,0.007802376,0,0.00333934,"no_treatment","UV_end","end","GSM3554748","KPB25L"
"SRX5100590",0.021178392,0.0038570862,0,0.0015343686,"no_treatment","UV_end","end","GSM3554749","KPB25L"
"SRX5100608",0.023763546,0.002808342,0.00015434048,0.0014665432,"no_treatment","UV_end","end","GSM3554750","KPB25L"
"SRX5100645",0,0.0030093744,0.0002531828,0.0002867546,"no_treatment","day3","day3","GSM3554785","p53-2153F"
"SRX5100721",0,0.002087886,3.232138e-05,0.0010941998,"no_treatment","day3","day3","GSM3554786","p53-2153F"
"SRX5100644",0,0.0019347816,0,0.001393932,"no_treatment","day3","day3","GSM3554787","p53-2153F"
"SRX5100757",0,0.0025048626,0.0001596379,0.002432966,"no_treatment","day3","day3","GSM3554788","p53-2153F"
"SRX5100774",0.0030476694,0.0034093296,0,0.002255334,"no_treatment","end","end","GSM3554789","p53-2224"
"SRX5100674",0.0018480696,0.0052788534,0,0.002950112,"no_treatment","end","end","GSM3554790","p53-2225L"
"SRX5100756",0.0017936934,0.0026281608,0,0.001697364,"no_treatment","day3","day3","GSM3554791","p53-2225L"
"SRX5100607",0.0053868666,0.0029417448,0,0.0018004834,"no_treatment","day3","day3","GSM3554792","p53-2225L"
"SRX5100606",0,0.002708214,0,0.0009442894,"no_treatment","day3","day3","GSM3554793","p53-2225L"
"SRX5100650",0.0054142842,0.0036371022,0,0.002111886,"no_treatment","day3","day3","GSM3554794","p53-2225L"
"SRX5100701",0.008067756,0.0034668576,0,0.002341746,"no_treatment","day3","day3","GSM3554795","p53-2225L"
"SRX5100782",0.009429636,0.0047381784,0,0.002119092,"no_treatment","day3","day3","GSM3554796","p53-2225L"
"SRX5100781",0.012098646,0.0046463238,0,0.002442342,"no_treatment","day3","day3","GSM3554797","p53-2225L"
"SRX5100728",0.010031016,0.0041734806,0,0.002296096,"no_treatment","day3","day3","GSM3554798","p53-2225L"
"SRX5100700",0.007131156,0.0032708376,0,0.0015826882,"antiPD1; antiCTLA4;","day3","day3","GSM3554799","p53-2225L"
"SRX5100729",0.007093716,0.0033428688,0,0.002502674,"antiPD1; antiCTLA4;","day3","day3","GSM3554800","p53-2225L"
"SRX5100730",0.007721382,0.004164888,0,0.00258141,"antiPD1; antiCTLA4;","day3","day3","GSM3554801","p53-2225L"
"SRX5100731",0.012594528,0.0050149512,0,0.00292998,"antiPD1; antiCTLA4;","day3","day3","GSM3554802","p53-2225L"
"SRX5100732",0.01129536,0.0040216014,0,0.00274987,"antiPD1; antiCTLA4;","day3","day3","GSM3554803","p53-2225L"
"SRX5100699",0.009398022,0.0032093004,0,0.002335428,"no_treatment","end","end","GSM3554804","p53-2225L"
"SRX5100698",0.006972876,0.0037527018,0,0.002228244,"no_treatment","end","end","GSM3554805","p53-2225L"
"SRX5100734",0.006518076,0.0035415258,0,0.00211896,"no_treatment","end","end","GSM3554806","p53-2225L"
"SRX5100694",0.01454568,0.0042390006,0,0.002409262,"no_treatment","end","end","GSM3554807","p53-2225L"
"SRX5100735",0.007317582,0.0043120146,0,0.00233708,"no_treatment","end","end","GSM3554808","p53-2225L"
"SRX5100736",0.01130577,0.0041304894,0,0.002118128,"antiPD1; antiCTLA4;","end","end","GSM3554809","p53-2225L"
"SRX5100737",0.00712059,0.003508119,0,0.0019795526,"antiPD1; antiCTLA4;","end","end","GSM3554810","p53-2225L"
"SRX5100702",0.006827322,0.0034084806,0,0.0018862812,"antiPD1; antiCTLA4;","end","end","GSM3554811","p53-2225L"
"SRX5100697",0.02282022,0.013298094,0,0.003969378,"no_treatment","end","end","GSM3554812","p53-2245"
"SRX5100696",0.00752073,0.0028188654,0,0.0011064924,"no_treatment","day3","day3","GSM3554813","p53-2336R"
"SRX5100695",0.009060522,0.0025241172,0,0.0010018238,"no_treatment","day3","day3","GSM3554814","p53-2336R"
"SRX5100704",0.010879446,0.0032780394,0,0.0013636724,"no_treatment","day3","day3","GSM3554815","p53-2336R"
"SRX5100703",0.00991002,0.0033090924,0,0.0013698964,"antiPD1; antiCTLA4;","day3","day3","GSM3554816","p53-2336R"
"SRX5100668",0.013554036,0.0033134832,0,0.0014726384,"antiPD1; antiCTLA4;","day3","day3","GSM3554817","p53-2336R"
"SRX5100669",0.00954576,0.0026168046,0,0.0010346784,"antiPD1; antiCTLA4;","day3","day3","GSM3554818","p53-2336R"
"SRX5100666",0.012777468,0.004350954,0.0003390196,0.002413974,"antiPD1; antiCTLA4;","day3","day3","GSM3554819","p53-2336R"
"SRX5100667",0.007526238,0.003002892,0,0.0008180846,"antiPD1; antiCTLA4;","day3","day3","GSM3554820","p53-2336R"
"SRX5100672",0.018360264,0.0049392786,0,0.0018126126,"no_treatment","end","end","GSM3554821","p53-2336R"
"SRX5100635",0.019439364,0.0052672956,0,0.0014552784,"no_treatment","end","end","GSM3554822","p53-2336R"
"SRX5100664",0.008446206,0.0032265738,0,0.0006660248,"no_treatment","end","end","GSM3554823","p53-2336R"
"SRX5100662",0.012106968,0.0056570586,0,0.0015737398,"no_treatment","end","end","GSM3554824","p53-2336R"
"SRX5100637",0.01264152,0.0053900598,0,0.000824885,"no_treatment","end","end","GSM3554825","p53-2336R"
"SRX5100634",0.00926877,0.0032028456,0,0.0012082946,"no_treatment","end","end","GSM3554826","p53-2336R"
"SRX5100673",0.02814789,0.007453716,0,0.00262479,"no_treatment","end","end","GSM3554827","p53-2336R"
"SRX5100640",0.013063002,0.005990502,0,0.0018194958,"no_treatment","end","end","GSM3554828","p53-2336R"
"SRX5100633",0.009776556,0.0046859886,0,0.0018236126,"antiPD1; antiCTLA4;","end","end","GSM3554829","p53-2336R"
"SRX5100670",0.0104322,0.0055021782,0,0.0011491462,"antiPD1; antiCTLA4;","end","end","GSM3554830","p53-2336R"
"SRX5100671",0.015037992,0.005376492,0,0.0015339462,"antiPD1; antiCTLA4;","end","end","GSM3554831","p53-2336R"
"SRX5100663",0.015008628,0.0041505678,0,0.0014092316,"antiPD1; antiCTLA4;","end","end","GSM3554832","p53-2336R"
"SRX5100636",0.01108371,0.0048665418,0,0.002022562,"antiPD1; antiCTLA4;","end","end","GSM3554833","p53-2336R"
