"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","ICB_study","GSM_ID","Cell_Line","Cancer_type","Study_ID"
"SRX3453162",0,0.0008787228,0,0,"isotype",NA,NA,"Baseline","GSM2879407","EMT6","Mammary carcinoma","GSE107801"
"SRX3453163",0.0020604228,0.0009403476,0,0.0004059422,"isotype",NA,NA,"Baseline","GSM2879408","EMT6","Mammary carcinoma","GSE107801"
"SRX3453164",0.0015896256,0.0007391832,0,0.0003522564,"isotype",NA,NA,"Baseline","GSM2879409","EMT6","Mammary carcinoma","GSE107801"
"SRX3453165",0.0008803206,0.00055823394,0,0.0003040642,"isotype",NA,NA,"Baseline","GSM2879410","EMT6","Mammary carcinoma","GSE107801"
"SRX3453166",0.001856193,0.0006909726,0,0.0003127,"isotype",NA,NA,"Baseline","GSM2879411","EMT6","Mammary carcinoma","GSE107801"
"SRX3453167",0.0020470956,0.0009254652,0,0.0004089758,"isotype",NA,NA,"Baseline","GSM2879412","EMT6","Mammary carcinoma","GSE107801"
"SRX3453168",0.001571058,0.000966741,0,0.0004061136,"isotype",NA,NA,"Baseline","GSM2879413","EMT6","Mammary carcinoma","GSE107801"
"SRX3453169",0.0012113844,0.00040641858,0,0.000273778,"isotype",NA,NA,"Baseline","GSM2879414","EMT6","Mammary carcinoma","GSE107801"
"SRX3453170",0.0019679106,0.0008485758,0,0.000368658,"isotype",NA,NA,"Baseline","GSM2879415","EMT6","Mammary carcinoma","GSE107801"
"SRX3453171",0.001318533,0.0007339332,0,0.000308386,"isotype",NA,NA,"Baseline","GSM2879416","EMT6","Mammary carcinoma","GSE107801"
"SRX3453172",0.0015511476,0.0005843982,0,0.0002433356,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879417","EMT6","Mammary carcinoma","GSE107801"
"SRX3453173",0.0028067382,0.0011523918,0,0.0004534404,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879418","EMT6","Mammary carcinoma","GSE107801"
"SRX3453174",0.002721417,0.0012284202,0,0.000464814,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879419","EMT6","Mammary carcinoma","GSE107801"
"SRX3453175",0.0018000012,0.0009097902,0,0.0004511768,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879420","EMT6","Mammary carcinoma","GSE107801"
"SRX3453176",0.0021045618,0.0008940672,0,0.0003658864,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879421","EMT6","Mammary carcinoma","GSE107801"
"SRX3453177",0.0021800988,0.000930651,0,0.0003622952,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879422","EMT6","Mammary carcinoma","GSE107801"
"SRX3453178",0.0034253484,0.0014126952,0,0.0005657342,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879423","EMT6","Mammary carcinoma","GSE107801"
"SRX3453179",0.0030485676,0.0014198442,0,0.000619234,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879424","EMT6","Mammary carcinoma","GSE107801"
"SRX3453180",0.003336933,0.0012880998,0,0.0005441122,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879425","EMT6","Mammary carcinoma","GSE107801"
"SRX3453181",0.0036936462,0.0014436846,0,0.0006378486,"anti_PDL1(mut)_TGFb_Trap_control","antiTGFb_trap",NA,"Baseline","GSM2879426","EMT6","Mammary carcinoma","GSE107801"
"SRX3453182",0.002753031,0.0011707356,0,0.000502093,"antiPDL1;",NA,NA,"R","GSM2879427","EMT6","Mammary carcinoma","GSE107801"
"SRX3453183",0.0031318524,0.0012005094,0,0.0005004038,"antiPDL1;",NA,NA,"R","GSM2879428","EMT6","Mammary carcinoma","GSE107801"
"SRX3453184",0.0026369436,0.0011118372,0,0.000498893,"antiPDL1;",NA,NA,"R","GSM2879429","EMT6","Mammary carcinoma","GSE107801"
"SRX3453185",0.0032637414,0.0013177632,0,0.0005653788,"antiPDL1;",NA,NA,"R","GSM2879430","EMT6","Mammary carcinoma","GSE107801"
"SRX3453186",0.0030422106,0.001230282,0,0.000536829,"antiPDL1;",NA,NA,"R","GSM2879431","EMT6","Mammary carcinoma","GSE107801"
"SRX3453187",0.0031163706,0.0013402308,0,0.0005560746,"antiPDL1;",NA,NA,"R","GSM2879432","EMT6","Mammary carcinoma","GSE107801"
"SRX3453188",0.002908065,0.0011786304,0,0.000493152,"antiPDL1;",NA,NA,"R","GSM2879433","EMT6","Mammary carcinoma","GSE107801"
"SRX3453189",0.0031801788,0.0013479876,0,0.0005852218,"antiPDL1;",NA,NA,"R","GSM2879434","EMT6","Mammary carcinoma","GSE107801"
"SRX3453190",0.0029297976,0.0011700192,0,0.000519735,"antiPDL1;",NA,NA,"R","GSM2879435","EMT6","Mammary carcinoma","GSE107801"
"SRX3453191",0.0035922462,0.0016815966,0,0.0006226184,"antiPDL1;",NA,NA,"R","GSM2879436","EMT6","Mammary carcinoma","GSE107801"
"SRX3453192",0.0042427116,0.0011274228,0,0.000458775,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879437","EMT6","Mammary carcinoma","GSE107801"
"SRX3453193",0.0026228946,0.001069941,0,0.000458058,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879438","EMT6","Mammary carcinoma","GSE107801"
"SRX3453194",0.0042103002,0.001806621,0,0.000721857,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879439","EMT6","Mammary carcinoma","GSE107801"
"SRX3453195",0.0029915232,0.0014245482,1.078213e-05,0.0006048632,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879440","EMT6","Mammary carcinoma","GSE107801"
"SRX3453196",0.0026890626,0.001045956,0,0.0005313968,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879441","EMT6","Mammary carcinoma","GSE107801"
"SRX3453197",0.003368388,0.0009863328,0,0.0004194218,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879442","EMT6","Mammary carcinoma","GSE107801"
"SRX3453198",0.0032988654,0.0011996886,0,0.0004882726,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879443","EMT6","Mammary carcinoma","GSE107801"
"SRX3453199",0.0029961978,0.0008930286,0,0.0004563884,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879444","EMT6","Mammary carcinoma","GSE107801"
"SRX3453200",0.0028742154,0.00119061,0,0.0005665568,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879445","EMT6","Mammary carcinoma","GSE107801"
"SRX3453201",0.003137031,0.0013726356,0,0.0005487442,"M7824 (anti_PDL1_TGFb_Trap)","antiTGFb_trap",NA,"R","GSM2879446","EMT6","Mammary carcinoma","GSE107801"
"SRX3744255",0.0009468588,0.00038899308,2.031624e-05,0.0005163692,"no_treatment",NA,NA,NA,"GSM3024253","Met1","Mammary carcinoma","GSE111157"
"SRX3744256",0.000912648,0.00028585902,9.36073e-05,0.00014428288,"no_treatment",NA,NA,NA,"GSM3024254","Met1","Mammary carcinoma","GSE111157"
"SRX3744257",0.0010942896,0.00039167124,3.431282e-05,5.281544e-05,"no_treatment",NA,NA,NA,"GSM3024255","Met1","Mammary carcinoma","GSE111157"
"SRX3756779",0.000969075,0.00067425,0,0.000229478,"no_treatment",NA,NA,NA,"GSM3028602","4T1","Mammary carcinoma","GSE111329"
"SRX3756780",0.0008549604,0.00035023698,0,0.00017289148,"no_treatment",NA,NA,NA,"GSM3028603","4T1","Mammary carcinoma","GSE111329"
"SRX3972566",0.00035436192,0.0010068282,0,0,"no_treatment",NA,NA,NA,"GSM3104650","NDL(UCD)","Mammary carcinoma","GSE113379"
"SRX3972567",0.00023894466,0.00056867154,0,1.0809042e-05,"no_treatment",NA,NA,NA,"GSM3104651","NDL(UCD)","Mammary carcinoma","GSE113379"
"SRX3972568",0.00041661864,0.0014100732,0,0,"no_treatment",NA,NA,NA,"GSM3104652","NDL(UCD)","Mammary carcinoma","GSE113379"
"SRX5100689",0.0020644104,0.0007342974,0.0003823572,0.0005127884,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554691","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100686",0.0030451098,0.001085262,0,0.0003227706,"no_treatment","day7","day7","Baseline","GSM3554692","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100687",0.0030096192,0.0010988538,3.49302e-05,0.0004047916,"no_treatment","day7","day7","Baseline","GSM3554693","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100692",0.003046641,0.0010471212,3.331262e-05,0.0004029854,"no_treatment","day7","day7","Baseline","GSM3554694","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100693",0.0031648746,0.000860631,0,0.0003356824,"no_treatment","day7","day7","Baseline","GSM3554695","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100690",0.0022529988,0.0007249926,2.383052e-05,0.000245116,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554696","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100691",0.003449043,0.0008667516,3.151104e-06,0.0004006074,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554697","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100680",0.0043494576,0.0009490896,1.6895496e-05,0.0005095694,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554698","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100597",0.0029152284,0.000706455,0,0.0002796756,"no_treatment","end","end","Baseline","GSM3554699","KPB25L","Mammary cancer, NOS","GSE124821"
