Unnamed: 0,Dendritic_quanTIseq,NK_quanTIseq,T.CD8_quanTIseq,Tregs_quanTIseq,Mouse_treatment,Condition,Timepoint,ICB_study,GSM_ID,Cell_Line,Cancer_type,Study_ID
SRX5100724,0.0014798766,0.0008097342,5.385956e-05,0.0003608006,antiPD1; antiCTLA4;,Apobec_end,end,R,GSM3554847,T11,"Mammary cancer, NOS",GSE124821
SRX5100642,0.0021267648,0.0010795356,7.36522e-05,0.0003755254,antiPD1; antiCTLA4;,Apobec_end,end,R,GSM3554850,T11,"Mammary cancer, NOS",GSE124821
SRX5100638,0.0054328692,0.0017605584,5.089042e-05,0.000529629,antiPD1; antiCTLA4;,Apobec_day3,day3,R,GSM3554852,T11,"Mammary cancer, NOS",GSE124821
SRX5100632,0.00712011,0.002415066,0.00019217666,0.0005784088,antiPD1; antiCTLA4;,Apobec_day3,day3,R,GSM3554853,T11,"Mammary cancer, NOS",GSE124821
SRX5100675,0.0050256258,0.0015913062,4.349316e-05,0.0004762342,antiPD1; antiCTLA4;,Apobec_day3,day3,R,GSM3554854,T11,"Mammary cancer, NOS",GSE124821
SRX5100859,0.0019258032,0.0008456694,2.35763e-05,0.0003239946,antiPD1; antiCTLA4;,Apobec_end,end,R,GSM3554856,T11,"Mammary cancer, NOS",GSE124821
SRX5100857,0.0042198696,0.00138237,4.036378e-05,0.0004307396,antiPD1; antiCTLA4;,Apobec_day3,day3,R,GSM3554858,T11,"Mammary cancer, NOS",GSE124821
SRX5100867,0.0018307998,0.0008953524,1.7730548e-06,0.000430252,antiPD1; antiCTLA4;,Apobec_end,end,R,GSM3554861,T11,"Mammary cancer, NOS",GSE124821
SRX5100790,0.003832701,0.0016066752,0.0005776184,0.0005080776,antiPD1; antiCTLA4;,UV_day7,day7,R,GSM3554883,T11,"Mammary cancer, NOS",GSE124821
SRX5100789,0.0059149656,0.001772211,0.000767779,0.0005653966,antiPD1; antiCTLA4;,UV_day7,day7,R,GSM3554884,T11,"Mammary cancer, NOS",GSE124821
SRX5100788,0.0028000908,0.0014333088,0.000426594,0.0003993662,antiPD1; antiCTLA4;,UV_day7,day7,R,GSM3554885,T11,"Mammary cancer, NOS",GSE124821
SRX5100787,0.0050314608,0.0015426648,0.0006714424,0.0005569002,antiPD1; antiCTLA4;,UV_day7,day7,R,GSM3554886,T11,"Mammary cancer, NOS",GSE124821
SRX5100681,0.0028270908,0.0014391738,9.392614e-06,0.000616126,antiPD1; antiCTLA4;,UV_end,end,R,GSM3554890,T11,"Mammary cancer, NOS",GSE124821
SRX5100624,0.0035638002,0.0015342678,0.0,0.000486253,antiPD1; antiCTLA4;,day7,day7,NR,GSM3554892,T11,"Mammary cancer, NOS",GSE124821
SRX5100625,0.0025436718,0.0011372934,0.0,0.0003816588,antiPD1; antiCTLA4;,day7,day7,NR,GSM3554893,T11,"Mammary cancer, NOS",GSE124821
SRX5100626,0.0031670382,0.001506186,0.0,0.0005348154,antiPD1; antiCTLA4;,day7,day7,NR,GSM3554894,T11,"Mammary cancer, NOS",GSE124821
SRX5100627,0.0035566464,0.0015145758,0.0,0.000545733,antiPD1; antiCTLA4;,day7,day7,NR,GSM3554895,T11,"Mammary cancer, NOS",GSE124821
